"Account Number","Adv Number","Certificate Number","Batch Number","Tax Year","Face Amount","Assessed Value","Property Address",Homestead,Removed,"Removed Because","Removed Time Stamp","Winning Bid","Winning Premium","Winning Amount Due","Winning Bidder","Winning Bidder Name","Winning Bidder Business Name","Winning Bidder Address","Winning Bidder City","Winning Bidder State","Winning Bidder Zip","Num Ties","Num Bids"
7419D0001,1,,1,2018,266.50,0.00,"**ES ANNAPOLIS RD 219 FT N OF MANOKIN ST",0,1,"Removed from sale","2019-03-27 10:30:47",,,,,,,,,,,,
042750026,2,,1,2018,6758.83,2700.00,"**ES ARMSTRONG AV 125 FT S OF RIDGE AV",0,0,,,6758.83,,,City,,,,,,,,
042750031,3,,1,2018,6602.36,2700.00,"**ES ARMSTRONG AV 250 FT S OF RIDGE AV",0,0,,,6602.36,,,City,,,,,,,,
042650015,4,,1,2018,4549.89,6100.00,"**ES ARMSTRONG AV 325 FT N OF RIDGE AV",0,0,,,4549.89,,,City,,,,,,,,
068130039,5,,1,2018,25788.61,23700.00,"**ES BROENING HWY NEC BESSEMER AV",0,0,,,25788.61,,,City,,,,,,,,
068120011,6,,1,2018,37001.76,35700.00,"**ES BROENING HWY SEC BESSEMER AV",0,0,,,37001.76,,,City,,,,,,,,
035670037,7,,1,2018,961.63,16800.00,"**ES BUENA VISTA AV 100 FT S OF COX ST",0,1,"Removed from sale","2019-04-24 12:00:21",,,,,,,,,,,,
051910009,10,,1,2018,341.39,12300.00,"**ES CRADDOCK AVENUE 428-4 FT NE OF E 43RD ST",0,1,"Removed from sale","2019-05-01 16:08:38",,,,,,,,,,,,
02358048D,11,,1,2018,1704.88,2100.00,"**ES CTR 20 FT PVT DR 158 FT W OF WHEELE0000E 125 FT",0,1,"Removed from sale","2019-04-24 12:00:21",,,,,,,,,,,,
03011001F,12,,1,2018,342.16,1000.00,"**ES DUKELAND ST 94 FT S OF CLINTON AV",0,0,,,342.16,,,City,,,,,,,,
068060009,13,,1,2018,495.36,3100.00,"**ES ELRINO ST 205 FT N OF BROWN AVE",0,0,,,495.36,,,City,,,,,,,,
7567A0012,14,,1,2018,325.53,21100.00,"**ES ENGLISH CONSUL AVE 524 FT N OF CHAHULL AVE",0,0,,,351.00,0.00,325.53,298,"TAX PROPERTIES ONE, LLC",,"6314 IVYMOUNT ROAD",BALTIMORE,MD,21209,,2
06048265A,15,,1,2018,1011.54,100.00,"**ES FURLEY WAY 110FT NE FRANKFORD ESTATES DR",0,0,,,1011.54,,,City,,,,,,,,
075150007,16,,1,2018,6401.93,1900.00,"**ES GABLE AV 161-2 FT S OF W PATAPSCO AV",0,0,,,6401.93,,,City,,,,,,,,
7703A0010,17,,1,2018,345.36,2000.00,"**ES GLOSTER AV 155 FT N OF OTTAWA AV",0,1,"Removed from sale","2019-05-06 10:13:23",,,,,,,,,,,,
7703A0011,18,,1,2018,321.80,2200.00,"**ES GLOSTER AV 180 FT N OF OTTAWA AV",0,0,,,321.80,,,City,,,,,,,,
054900022,19,,1,2018,485.64,6200.00,"**ES HAMPNETT AV 275 FT N OF FLEETWOOD AV",0,0,,,485.64,,,City,,,,,,,,
081860009,20,,1,2018,1091.49,2400.00,"**ES HAZLETT AV 500 FT N OF OVERTON ST",0,0,,,1091.49,,,City,,,,,,,,
082430041,21,,1,2018,8039.33,4300.00,"**ES HOWARD PARK AV 166-6 FT N OF HADDON AV",0,0,,,8039.33,,,City,,,,,,,,
6543C0006,22,,1,2018,1115.31,0.00,"**ES IRIS AV 718 FT S OF EASTERN AV",0,0,,,1115.31,,,City,,,,,,,,
076460055,23,,1,2018,8278.18,3100.00,"**ES JOSEPH AV 614 FT N OF CHERRY HILL RD",0,0,,,8278.18,,,City,,,,,,,,
06703005D,24,,1,2018,2328.77,40500.00,"**ES KANE ST 600FT S OF EASTERN AVE 150FT EAST REAR",0,1,"Removed from sale","2019-04-05 14:32:38",,,,,,,,,,,,
081390016,25,,1,2018,43848.39,36300.00,"**ES LONG ISLAND AV 64-1 FT N OF OVERTON ST",0,0,,,43848.39,,,City,,,,,,,,
