"Account Number","Adv Number","Certificate Number","Batch Number","Tax Year","Face Amount","Assessed Value","Property Address",Homestead,Removed,"Removed Because","Removed Time Stamp","Winning Bid","Winning Premium","Winning Amount Due","Winning Bidder","Winning Bidder Name","Winning Bidder Business Name","Winning Bidder Address","Winning Bidder City","Winning Bidder State","Winning Bidder Zip","Num Ties","Num Bids"
06220042A,1,,1,2006,1202.57,100.00,"**BED OF PRIVATE DRIVE ES OF 62ND STREET 1808 FT NOR",0,1,"Removed from Sale","2007-03-27 15:40:58",,,,,,,,,,,,
06220042B,2,,1,2006,1867.55,100.00,"**BED OF PRIVATE DRIVE ES OF 62ND STREET 2313 FT NOR",0,1,"Removed from Sale","2007-03-27 15:40:58",,,,,,,,,,,,
05656010C,3,,1,2006,99900.52,13200.00,"**ES ASHLEY AV 233-8 FT S FLEETWOOD AV",0,0,,,99900.52,,,City,,,,,,,,
8139D0049,4,,1,2006,5449.99,9640.00,"**ES ATHOLWOOD LA 207-11 FT S OF FREDERICK AV",0,0,,,5449.99,,,City,,,,,,,,
059730025,5,,1,2006,158.68,2840.00,"**ES BIDDISON AVE 241-9 FT SOUTH OF SIPPLE AVE",0,0,,,5132.00,799.00,957.68,220,"Allen C. Tochterman","Cypress Properties, Inc.","11411 Cedar Lane",Kingsville,MD,21087,,2
056600014,6,,1,2006,269.16,9410.00,"**ES BROOK AV 300 FT S OF GLENMORE AV",0,1,"Removed from Sale","2007-04-18 14:07:53",,,,,,,,,,,,
2880D0016,7,,1,2006,72209.56,19750.00,"**ES CHELSEA RD 243-11 FT S OF CLIFTON AV",0,0,,,72209.56,,,City,,,,,,,,
02483015O,8,,1,2006,991.62,1000.00,"**ES DENISON ST SEC HARLEM AV",0,0,,,991.62,,,City,,,,,,,,
7567A0006,9,,1,2006,304.31,10900.00,"**ES ENGLISH CONSUL AV 674 FT N OF CHAHULL AV",0,1,"Removed from Sale","2007-03-27 15:40:58",,,,,,,,,,,,
7567A0013,10,,1,2006,3761.84,20233.00,"**ES ENGLISH CONSUL AVE 499 FT N OF CHAHULL AVE",0,0,,,3761.84,,,City,,,,,,,,
7567A0012,11,,1,2006,4614.86,24333.00,"**ES ENGLISH CONSUL AVE 524 FT N OF CHAHULL AVE",0,0,,,4614.86,,,City,,,,,,,,
7567A0011,12,,1,2006,4053.25,19933.00,"**ES ENGLISH CONSUL AVE 549 FT N OF CHAHULL AVE",0,0,,,4053.25,,,City,,,,,,,,
05411006A,13,,1,2006,1280.45,370.00,"**ES FAIR OAKS AV 100 FT S OF EVERGREEN AV 0000",0,0,,,1280.45,,,City,,,,,,,,
5818A0111,14,,1,2006,135356.23,15700.00,"**ES FRANKFORD AV 210-9 FT S OF BELLE VISTA AV",0,0,,,135356.23,,,City,,,,,,,,
039030002,15,,1,2006,336.84,1000.00,"**ES GREENMOUNT AV 32-2 FT N OF WYANOKE AV",0,0,,,3795.40,679.00,1015.84,220,"Allen C. Tochterman","Cypress Properties, Inc.","11411 Cedar Lane",Kingsville,MD,21087,,1
3357H0019,16,,1,2006,68602.76,8782.00,"**ES GREENSPRING AV 123-5 FT S OF PARK HILL AV",0,1,"Removed from Sale","2007-05-04 14:50:06",,,,,,,,,,,,
8393G0005,17,,1,2006,1238.96,44962.00,"**ES GWYNNS FALLS PARK 225 FT S OF W FOREST PARK AV",0,1,"Removed from Sale","2007-04-11 14:18:43",,,,,,,,,,,,
053420010,18,,1,2006,165.10,4060.00,"**ES HAMPNETT AV 128-3 FT W OF MARKLEY AV",0,0,,,5002.00,675.00,840.10,295,"Maze Investments, LLC",,"7608 Labyrinth Rd.",Baltimore,MD,21208,,1
078970013,19,,1,2006,350.00,6900.00,"**ES HOLLINS FERRY RD 110 FT S OF WICOMICO ST",0,0,,,350.00,,,City,,,,,,,,
4652D0063,20,,1,2006,1095.14,39690.00,"**ES IVYDENE TER 101-6 FT N OF NORTHCLIFF DR",0,1,"Removed from Sale","2007-05-04 14:50:06",,,,,,,,,,,,
019470001,21,,1,2006,47097.44,42900.00,"**ES JOHNSON ST 98-8 S WELLS ST",0,1,"Removed from Sale","2007-04-30 18:29:57",,,,,,,,,,,,
051920011,22,,1,2006,3706.91,1890.00,"**ES KENILWORTH AV 432-2 FT N OF E 43RD ST",0,1,"Removed from Sale","2007-05-04 14:50:06",,,,,,,,,,,,
051920013,23,,1,2006,2056.34,0.00,"**ES KENILWORTH AV 482-2 FT N OF E 43RD ST",0,1,"Removed from Sale","2007-05-04 14:50:06",,,,,,,,,,,,
051920014,24,,1,2006,2184.27,1890.00,"**ES KENILWORTH AV 507-2 FT N OF E 43RD ST",0,1,"Removed from Sale","2007-05-04 14:50:06",,,,,,,,,,,,
4948C0011,25,,1,2006,305.42,9120.00,"**ES KESWICK RD 400 FT N COLD SPRING LA",0,0,,,10001.00,1270.00,1575.42,295,"Maze Investments, LLC",,"7608 Labyrinth Rd.",Baltimore,MD,21208,,3
024110037,26,,1,2006,4717.31,1000.00,"**ES LONGWOOD ST 141-5 FT S OF WESTWOOD AV",0,0,,,4717.31,,,City,,,,,,,,
075190007,27,,1,2006,185.81,6480.00,"**ES LORENA AV SEC W PATAPSCO AV",0,1,"Removed from Sale","2007-03-27 15:40:58",,,,,,,,,,,,
002210052,28,,1,2006,593.51,21300.00,"**ES MCPHAIL ST REAR 153-55 MCPHAIL ST",0,1,"Removed from Sale","2007-05-04 14:50:06",,,,,,,,,,,,
002210018,29,,1,2006,131.51,4366.00,"**ES MCPHAIL ST 170 FT N OF W FREDERICK AV",0,1,"Removed from Sale","2007-05-04 14:50:06",,,,,,,,,,,,
4965E0004,30,,1,2006,146.39,4910.00,"**ES MEADOW LA REAR 4303 WICKFORD RD",0,1,"Removed from Sale","2007-04-30 18:29:57",,,,,,,,,,,,
4965E0005,31,,1,2006,8613.37,20850.00,"**ES MEADOW LA REAR 4305-4409 WICKFORD RD",0,0,,,8613.37,,,City,,,,,,,,
014690076,32,,1,2006,235.50,6600.00,"**ES N CASTLE ST 68 FT S OF LANVALE ST",0,0,,,235.50,,,City,,,,,,,,
00530001A,33,,1,2006,200.77,117100.00,"**ES N EUTAW ST 279'11 N W FRANKLIN ST",0,1,"Removed from Sale","2007-03-27 15:40:58",,,,,,,,,,,,
8393I001F,34,,1,2006,295.74,8770.00,"**ES N FOREST PARK AV 888-4 FT S OF PICKWICK RD",0,0,,,295.74,,,City,,,,,,,,
062630021,35,,1,2006,871.21,1050.00,"**ES N JANNEY ST 28'E FAIRMOUNT AVE",0,0,,,871.21,,,City,,,,,,,,
000420048,36,,1,2006,385.34,12000.00,"**ES N MOUNT ST 80 FT S OF LAURENS ST",0,0,,,400.00,0.00,385.34,226,"Kai Zhang",,"13536 Prairie Mallow Lane",Centreville,VA,20120,,1
4502A0032,37,,1,2006,4532.19,440.00,"**ES N ROGERS AVE 495-2 N WABASH AVE0000",0,1,"Removed from Sale","2007-05-04 14:50:06",,,,,,,,,,,,
2230C0008,38,,1,2006,2065.41,6090.00,"**ES N ROSEDALE ST 122 FT N OF W BALTIMORE ST",0,0,,,2065.41,,,City,,,,,,,,
2454C0035,39,,1,2006,11176.99,600.00,"**ES N ROSEDALE ST 42-5 FT N OF BELMONT AVE",0,0,,,11176.99,,,City,,,,,,,,
040530095,40,,1,2006,1012.06,9000.00,"**ES OLD YORK RD SEC VENABLE AV",0,0,,,1012.06,,,City,,,,,,,,
072610033,41,,1,2006,327.10,9900.00,"**ES PENNINGTON AV SEC POPLAND ST",0,0,,,335.00,0.00,327.10,282,"Shaun L. Diggs",,"4419 3RD St., NW",Washington,DC,20011,,2
04804016B,42,,1,2006,409.47,1950.00,"**ES PIMLICO RD 99-3 N-ROSALIND AVE",0,1,"Removed from Sale","2007-05-04 14:50:06",,,,,,,,,,,,
7878A0001,43,,1,2006,13003.51,2900.00,"**ES RAYMOND ST NEC BREMEN ST",0,0,,,13003.51,,,City,,,,,,,,
8393K0009,44,,1,2006,5816.26,3096.00,"**ES RICHEL LA 110 FT N OF WETHEREDSVILLE RD",0,0,,,5816.26,,,City,,,,,,,,
022530041,45,,1,2006,147.56,5040.00,"**ES S CULVER ST 360 FT S OF ST. JOSEPH ST",0,1,"Removed from Sale","2007-04-04 12:36:54",,,,,,,,,,,,
084740005,46,,1,2006,26665.78,14642.00,"**ES TAZEWELL RD SEC WAKEFIELD RD",0,0,,,26665.78,,,City,,,,,,,,
5410A0046,47,,1,2006,201.67,3740.00,"**ES TRAMORE RD 425 FT N OF EVERGREEN AV",0,0,,,4126.03,526.00,727.67,295,"Maze Investments, LLC",,"7608 Labyrinth Rd.",Baltimore,MD,21208,,1
043390039,48,,1,2006,440.81,15990.00,"**ES WALLIS AV 200 FT N OF W STRATHMORE AV",0,1,"Removed from Sale","2007-03-27 15:40:58",,,,,,,,,,,,
3971F0014,49,,1,2006,527.69,18890.00,"**ES WESTVIEW RD 65 FT N OF SOUTHVIEW RD",0,1,"Removed from Sale","2007-04-11 14:18:43",,,,,,,,,,,,
077650016,50,,1,2006,37100.53,4060.00,"**ES WICKES AV SEC GEORGETOWN RD",0,0,,,37100.53,,,City,,,,,,,,
02710036I,51,,1,2006,11462.17,330.00,"**ES 10 FT ALLEY 1ST E GRANADA AVE REAR 3819 GRANADA",0,0,,,11462.17,,,City,,,,,,,,
02710036J,52,,1,2006,11462.17,330.00,"**ES 10 FT ALLEY 1ST E GRANADA AVE REAR 3821 GRANADA",0,0,,,11462.17,,,City,,,,,,,,
011180109,53,,1,2006,1106.94,38000.00,"**ES 10 FT ALLEY 1ST E OF BOND ST REAR 1600-22 BETHE",0,0,,,1500.00,0.00,1106.94,56,"Keith Griffin",,"422 Ilchester Avenue",Baltimore,MD,21218,,1
027540024,54,,1,2006,541.82,320.00,"**ES 10 FT ALLEY 1ST E OF CHELSEA TER REAR 3103 CHEL",0,0,,,541.82,,,City,,,,,,,,
02710036L,55,,1,2006,318.67,400.00,"**ES 10 FT ALLEY 1ST E OF GRANADA AVE REAR 3825 GRAN",0,0,,,318.67,,,City,,,,,,,,
038270069,56,,1,2006,19960.27,1000.00,"**ES 10 FT ALLEY 1ST E OF GUILFORD AV REAR 2437-41 G",0,1,"Removed from Sale","2007-05-04 14:50:06",,,,,,,,,,,,
04007042A,57,,1,2006,15447.63,3000.00,"**ES 10 FT ALLEY 1ST E OF HOPE ST REAR 1921-25 HOPE",0,0,,,15447.63,,,City,,,,,,,,
040070042,58,,1,2006,18259.21,3000.00,"**ES 10 FT ALLEY 1ST E OF HOPE ST 1905-15 HOPE ST RE",0,0,,,18259.21,,,City,,,,,,,,
5165B0053,59,,1,2006,210.77,2680.00,"**ES 10 FT ALLEY 1ST E OF READY AVE REAR 5223 READY",0,0,,,210.77,,,City,,,,,,,,
2475D0061,60,,1,2006,10122.30,490.00,"**ES 10 FT ALLEY 1ST E OF ROSEDALE ST 56 FT S OF HAR",0,0,,,10122.30,,,City,,,,,,,,
0300B0059,61,,1,2006,19726.17,5666.00,"**ES 10 FT ALLEY 1ST E OF STRICKER ST 1420-26 SCHOOL",0,0,,,19726.17,,,City,,,,,,,,
027280010,62,,1,2006,1242.25,930.00,"**ES 12 FT ALLEY 1ST W OF GARRISON BLVD 162 FT S OF",0,0,,,1242.25,,,City,,,,,,,,
02728010A,63,,1,2006,32466.44,760.00,"**ES 12 FT ALLEY 1ST W OF GARRISON BLVD 254-6 FT S O",0,0,,,32466.44,,,City,,,,,,,,
