"Account Number","Adv Number","Certificate Number","Batch Number","Tax Year","Face Amount","Assessed Value","Property Address",Homestead,Removed,"Removed Because","Removed Time Stamp","Winning Bid","Winning Premium","Winning Amount Due","Winning Bidder","Winning Bidder Name","Winning Bidder Business Name","Winning Bidder Address","Winning Bidder City","Winning Bidder State","Winning Bidder Zip","Num Ties","Num Bids"
5140E0050,1,,1,2009,501.56,8280.00,"**ES ALHAMBRA AVE 69 FT N OF BEAVERBROOK RD",0,0,,,501.56,,,City,,,,,,,,
05656010C,3,,1,2009,155760.18,13200.00,"**ES ASHLEY AV 233-8 FT S FLEETWOOD AV",0,0,,,155760.18,,,City,,,,,,,,
8139D0049,4,,1,2009,10423.42,13850.00,"**ES ATHOLWOOD LA 207-11 FT S OF FREDERICK AV",0,0,,,10423.42,,,City,,,,,,,,
081850013,8,,1,2009,341.06,3090.00,"**ES CHAPELGATE LA 461'2 N OVERTON ST",0,0,,,341.06,,,City,,,,,,,,
2880D0016,9,,1,2009,114310.86,19750.00,"**ES CHELSEA RD 243-11 FT S OF CLI0000 AVE",0,0,,,114310.86,,,City,,,,,,,,
4536A135A,11,,1,2009,2437.70,2490.00,"**ES ETHELBERT AV 390 FT N OF HAYWARD AV",0,0,,,2437.70,,,City,,,,,,,,
05411006A,12,,1,2009,2242.75,2990.00,"**ES FAIR OAKS AV 100 FT S OF EVERGREEN AV 0000",0,0,,,2242.75,,,City,,,,,,,,
054320033,13,,1,2009,324.41,1810.00,"**ES FAIR OAKS AV 810-6 FT S OF WESTFIELD AV",0,0,,,324.41,,,City,,,,,,,,
5818A0111,14,,1,2009,211961.41,14410.00,"**ES FRANKFORD AV 210-9 FT S OF BELLE VISTA AV",0,0,,,211961.41,,,City,,,,,,,,
075670029,15,,1,2009,17136.21,4133.00,"**ES GERANIUM AV 139 FT S OF MAGNOLIA AV",0,0,,,17136.21,,,City,,,,,,,,
075670028,16,,1,2009,17136.21,4133.00,"**ES GERANIUM AV 164 FT S OF MAGNOLIA AV",0,0,,,17136.21,,,City,,,,,,,,
4048A016A,17,,1,2009,6347.89,1000.00,"**ES GREENMOUNT AV 261 FT S OF CHESTNUT HILL AV",0,0,,,6347.89,,,City,,,,,,,,
3357H0019,18,,1,2009,109063.51,12360.00,"**ES GREENSPRING AV 123-5 FT S OF PARK HILL AV",0,0,,,109063.51,,,City,,,,,,,,
08186002A,19,,1,2009,370.68,1990.00,"**ES HAZLETT AV 80 FT N OF N OVERTON ST",0,0,,,370.68,,,City,,,,,,,,
6345A020A,21,,1,2009,332.47,1532.00,"**ES HORNEL ST 120 FT N OF EASTER0000",0,0,,,332.47,,,City,,,,,,,,
019470001,23,,1,2009,122001.13,49700.00,"**ES JOHNSON ST 98-8 S WELLS ST",0,0,,,122001.13,,,City,,,,,,,,
051920003,25,,1,2009,476.14,6030.00,"**ES KENILWORTH AV 242-5 FT N OF E 43RD ST",0,0,,,476.14,,,City,,,,,,,,
002210052,28,,1,2009,768.99,21733.00,"**ES MCPHAIL ST REAR 153-55 MCPHAIL ST",0,0,,,768.99,,,City,,,,,,,,
002210018,29,,1,2009,4103.76,6300.00,"**ES MCPHAIL ST 170 FT N OF W FREDERICK AV",0,0,,,4103.76,,,City,,,,,,,,
4965E0005,30,,1,2009,15604.16,22270.00,"**ES MEADOW LA REAR 4305-4409 WICKFORD RD",0,0,,,15604.16,,,City,,,,,,,,
004830057,31,,1,2009,609.67,9666.00,"**ES MORTON ST 68-10 FT N OF W BIDDLE ST",0,0,,,609.67,,,City,,,,,,,,
000470053,32,,1,2009,4354.79,1870.00,"**ES N BENTALOU ST ADJOINING 1121 ON NORTH",0,0,,,4354.79,,,City,,,,,,,,
3059A0018,33,,1,2009,12725.86,2340.00,"**ES N DENISON ST 105 FT N OF MONDAWMIN AV",0,0,,,12725.86,,,City,,,,,,,,
8434C0006,34,,1,2009,505.34,16490.00,"**ES N FOREST PARK AVE 372'6 NE CARMINE AVE",0,0,,,505.34,,,City,,,,,,,,
062630021,37,,1,2009,1685.49,5016.00,"**ES N JANNEY ST 28'E FAIRMOUNT AVE",0,0,,,1685.49,,,City,,,,,,,,
015930014,38,,1,2009,86972.23,27166.00,"**ES N LUZERNE AV 20 FT N OF EAGER ST",0,0,,,86972.23,,,City,,,,,,,,
2230C0008,39,,1,2009,3251.71,6090.00,"**ES N ROSEDALE ST 122 FT N OF W BALTIMORE ST",1,0,,,3251.71,,,City,,,,,,,,
2454C0035,40,,1,2009,17491.45,600.00,"**ES N ROSEDALE ST 42-5 FT N OF BELMONT AVE",0,0,,,17491.45,,,City,,,,,,,,
072000015,43,,1,2009,17024.18,12240.00,"**ES PARCEL ST 120 FT N OF FILBERT ST",0,0,,,17024.18,,,City,,,,,,,,
072000023,45,,1,2009,16605.04,13743.00,"**ES PRUDENCE ST 250 FT N OF FILBERT ST",0,0,,,16605.04,,,City,,,,,,,,
7878A0001,46,,1,2009,20560.11,2900.00,"**ES RAYMOND ST NEC BREMEN ST",0,0,,,20560.11,,,City,,,,,,,,
8393K0009,47,,1,2009,9468.48,4456.00,"**ES RICHEL LA 110 FT N OF WETHEREDSVILLE RD",0,0,,,9468.48,,,City,,,,,,,,
048360008,48,,1,2009,374.63,5350.00,"**ES ROLAND AV 142-4 FT N OF HUNT CLUB LA",0,0,,,374.63,,,City,,,,,,,,
6315A0037,51,,1,2009,2369.52,84232.00,"**ES S DEAN ST 80'8 S BANK ST",0,0,,,2369.52,,,City,,,,,,,,
084740005,52,,1,2009,43319.16,17550.00,"**ES TAZEWELL RD SEC WAKEFIELD RD",0,0,,,43319.16,,,City,,,,,,,,
077650016,54,,1,2009,57989.10,4060.00,"**ES WICKES AV SEC GEORGETOWN RD",0,0,,,57989.10,,,City,,,,,,,,
02817047A,56,,1,2009,31061.57,1450.00,"**ES 10 FT AL. 1ST E OF MT. HOLLY ST 264-20000 S WIN",0,0,,,31061.57,,,City,,,,,,,,
02710036I,57,,1,2009,17917.98,556.00,"**ES 10 FT ALLEY 1ST E GRANADA AVE REAR 3819 GRANADA",0,0,,,17917.98,,,City,,,,,,,,
02710036J,58,,1,2009,17917.98,556.00,"**ES 10 FT ALLEY 1ST E GRANADA AVE REAR 3821 GRANADA",0,0,,,17917.98,,,City,,,,,,,,
011180109,59,,1,2009,2501.63,41332.00,"**ES 10 FT ALLEY 1ST E OF BOND ST REAR 1600-22 BETHE",0,0,,,2501.63,,,City,,,,,,,,
027540024,60,,1,2009,1110.49,540.00,"**ES 10 FT ALLEY 1ST E OF CHELSEA TER REAR 3103 CHEL",0,0,,,1110.49,,,City,,,,,,,,
02710036L,62,,1,2009,598.64,672.00,"**ES 10 FT ALLEY 1ST E OF GRANADA AVE REAR 3825 GRAN",0,0,,,598.64,,,City,,,,,,,,
2199C0042,63,,1,2009,1677.94,59100.00,"**ES 10 FT ALLEY 1ST E OF HILTON ST REAR 219-59 S HI",0,0,,,1677.94,,,City,,,,,,,,
04007042A,64,,1,2009,24370.26,3000.00,"**ES 10 FT ALLEY 1ST E OF HOPE ST REAR 1921-25 HOPE",0,0,,,24370.26,,,City,,,,,,,,
040070042,65,,1,2009,28742.27,3000.00,"**ES 10 FT ALLEY 1ST E OF HOPE ST 1905-15 HOPE ST RE",0,0,,,28742.27,,,City,,,,,,,,
5165B0053,66,,1,2009,1290.24,9490.00,"**ES 10 FT ALLEY 1ST E OF READY AVE REAR 5223 READY",0,0,,,1290.24,,,City,,,,,,,,
2475D0061,67,,1,2009,15840.55,490.00,"**ES 10 FT ALLEY 1ST E OF ROSEDALE ST 56 FT S OF HAR",0,0,,,15840.55,,,City,,,,,,,,
0300B0059,68,,1,2009,32716.90,7666.00,"**ES 10 FT ALLEY 1ST E OF STRICKER ST 1420-26 SCHOOL",0,0,,,32716.90,,,City,,,,,,,,
064450052,69,,1,2009,2036.92,71870.00,"**ES 12 FT ALLEY 1ST E OF EATON ST REAR 701-19 S EAT",0,0,,,2036.92,,,City,,,,,,,,
027280010,70,,1,2009,2102.74,1550.00,"**ES 12 FT ALLEY 1ST W OF GARRISON BLVD 162 FT S OF",0,0,,,2102.74,,,City,,,,,,,,
02728010A,71,,1,2009,50634.47,1266.00,"**ES 12 FT ALLEY 1ST W OF GARRISON BLVD 254-6 FT S O",0,0,,,50634.47,,,City,,,,,,,,
4673A063A,72,,1,2009,6893.33,520.00,"**ES 12' LANE 1ST W RANNY RD 0000 232-5 N SULGRAVE A",0,0,,,6893.33,,,City,,,,,,,,
024860070,73,,1,2009,12263.67,1340.00,"**ES 15 FT ALLEY 1ST E OF ALLENDALE ST 185-6 FT S HA",0,0,,,12263.67,,,City,,,,,,,,
3903A0059,74,,1,2009,844.16,550.00,"**ES 15 FT ALLEY 1ST E OF GREENMOUNT AV 143FT N OF E",0,0,,,844.16,,,City,,,,,,,,
4179E0127,75,,1,2009,975.54,3710.00,"**ES 15 FT ALLEY 1ST E OF KENTUCKY AV REAR 3402 KENT",0,0,,,975.54,,,City,,,,,,,,
4179E0130,76,,1,2009,1316.38,6230.00,"**ES 15 FT ALLEY 1ST E OF KENTUCKY AV REAR 3408 KENT",0,0,,,1316.38,,,City,,,,,,,,
051490026,77,,1,2009,32714.87,2900.00,"**ES 15 FT ALLEY 1ST W OF READY AVE REAR 5508 READY",0,0,,,32714.87,,,City,,,,,,,,
2174A0085,78,,1,2009,2109.35,12160.00,"**ES 15 FT ALLEY 1ST W OF WILLARD ST REAR 152 WILLAR",0,0,,,2109.35,,,City,,,,,,,,
083500019,79,,1,2009,980.22,15472.00,"**ES 15' ALLEY 1ST E MILFORD AVE 205'-4 S NORWOOD AV",0,0,,,980.22,,,City,,,,,,,,
025460026,80,,1,2009,18140.55,1470.00,"**ES 15' ALLEY 140'E W WOODINGTON0000 120'N VERMONT",0,0,,,18140.55,,,City,,,,,,,,
071230001,81,,1,2009,69800.00,18956.00,"**ES 2ND ST 125 FT S OF JACK ST",0,0,,,69800.00,,,City,,,,,,,,
052170046,82,,1,2009,2084.93,410.00,"**ES 20 FT ALLEY 1ST E OF ALHAMBRA AV 110 FT N OF RI",0,0,,,2084.93,,,City,,,,,,,,
02301046E,83,,1,2009,349.20,3000.00,"**ES 20 FT ALLEY 1ST E OF N SMALLWOOD ST REAR 1717-1",0,0,,,349.20,,,City,,,,,,,,
024890055,84,,1,2009,583.53,360.00,"**ES 20FT AL 1ST E OF WILDWOOD PKWYREAR OF S HALF OF",0,0,,,583.53,,,City,,,,,,,,
3969L0060,85,,1,2009,49726.67,370.00,"**ES 22 FT ALEY 1ST E OF WELBOURNE RD 141-9 FT S OF",0,0,,,49726.67,,,City,,,,,,,,
