"Account Number","Adv Number","Certificate Number","Batch Number","Tax Year","Face Amount","Assessed Value","Property Address",Homestead,Removed,"Removed Because","Removed Time Stamp","Winning Bid","Winning Premium","Winning Amount Due","Winning Bidder","Winning Bidder Name","Winning Bidder Business Name","Winning Bidder Address","Winning Bidder City","Winning Bidder State","Winning Bidder Zip","Num Ties","Num Bids"
027300009,1,,1,2010,478.43,6000.00,**,0,0,,,478.43,,,City,,,,,,,,
042750026,2,,1,2010,386.43,2700.00,"**ES ARMSTRONG AV 125 FT S OF RIDGE AV",0,0,,,386.43,,,City,,,,,,,,
042750031,3,,1,2010,369.14,2700.00,"**ES ARMSTRONG AV 250 FT S OF RIDGE AV",0,0,,,369.14,,,City,,,,,,,,
042650014,4,,1,2010,324.17,2800.00,"**ES ARMSTRONG AV 300 FT N OF RIDGE AV",0,0,,,324.17,,,City,,,,,,,,
068130039,5,,1,2010,969.83,23770.00,"**ES BROENING HWY NEC BESSEMER AV",0,0,,,969.83,,,City,,,,,,,,
068120011,6,,1,2010,1298.09,35700.00,"**ES BROENING HWY SEC BESSEMER AV",0,0,,,1298.09,,,City,,,,,,,,
02483015O,7,,1,2010,346.75,1000.00,"**ES DENISON ST SEC HARLEM AV",0,0,,,346.75,,,City,,,,,,,,
3594A0061,8,,1,2010,1896.49,14540.00,"**ES ELM AV 247-3 FT S OF W UNIVERSITY PKWY",0,0,,,1896.49,,,City,,,,,,,,
7567A0013,9,,1,2010,5134.29,22500.00,"**ES ENGLISH CONSUL AVE 499 FT N OF CHAHULL AVE",0,0,,,5134.29,,,City,,,,,,,,
7567A0011,10,,1,2010,5066.14,22200.00,"**ES ENGLISH CONSUL AVE 549 FT N OF CHAHULL AVE",0,0,,,5066.14,,,City,,,,,,,,
075150007,11,,1,2010,392.17,1900.00,"**ES GABLE AV 161-2 FT S OF W PATAPSCO AV",0,0,,,392.17,,,City,,,,,,,,
8393G0005,12,,1,2010,2084.04,68330.00,"**ES GWYNNS FALLS PARK 225 FT S OF W FOREST PARK AV",0,0,,,2084.04,,,City,,,,,,,,
011430001,13,,1,2010,15657.88,4300.00,"**ES HOMEWOOD AV SEC E OF HOFFMAN ST",0,0,,,15657.88,,,City,,,,,,,,
082430041,14,,1,2010,435.75,4300.00,"**ES HOWARD PARK AV 166-6 FT N OF HADDON AV",0,0,,,435.75,,,City,,,,,,,,
7492C0199,15,,1,2010,1732.46,62532.00,"**ES HURON ST 116-8 FT N OF SOUTHDENE AV",0,1,"Removed from Sale","2011-05-13 12:19:28",,,,,,,,,,,,
4652D0063,16,,1,2010,1186.49,39600.00,"**ES IVYDENE TER 101-6 FT N OF NORTHCLIFF DR",0,1,"Removed from Sale","2011-05-04 11:50:33",,,,,,,,,,,,
076460055,17,,1,2010,513.46,3120.00,"**ES JOSEPH AV 614 FT N OF CHERRY HILL RD",0,0,,,513.46,,,City,,,,,,,,
051920011,18,,1,2010,6198.63,5500.00,"**ES KENILWORTH AV 432-2 FT N OF E 43RD ST",0,0,,,6198.63,,,City,,,,,,,,
051920014,19,,1,2010,4067.76,5500.00,"**ES KENILWORTH AV 507-2 FT N OF E 43RD ST",0,0,,,4067.76,,,City,,,,,,,,
7027D0021,20,,1,2010,511.96,4800.00,"**ES LEVIN RD 152 FT S OF RIVERSIDE RD",0,0,,,511.96,,,City,,,,,,,,
7027D0025,21,,1,2010,511.96,4800.00,"**ES LEVIN RD 252 FT S OF RIVERSIDE RD",0,0,,,511.96,,,City,,,,,,,,
081390016,22,,1,2010,5303.92,36300.00,"**ES LONG ISLAND AV 64-1 FT N OF OVERTON ST",0,0,,,5303.92,,,City,,,,,,,,
4965E0005,23,,1,2010,317.41,22200.00,"**ES MEADOW LA REAR 4305-4409 WICKFORD RD",0,0,,,350.01,0.00,317.41,149,"Credit Service, LLC",,"9 Newburg Ave - Ste 201",Catonsville,MD,21228,,1
011510034,24,,1,2010,1702.42,1000.00,"**ES N BOND ST SEC E HOFFMAN ST",0,1,"Removed from Sale","2011-03-30 16:26:47",,,,,,,,,,,,
005390003,25,,1,2010,3475.91,112800.00,"**ES N CALVERT ST W SEC E MONUMENT ST ABOVE ELEVATIO",0,1,"Removed from Sale","2011-04-07 14:35:56",,,,,,,,,,,,
014690075,26,,1,2010,11264.38,4200.00,"**ES N CASTLE ST 100-10 FT S LANVALE ST",0,0,,,11264.38,,,City,,,,,,,,
3061B0028,27,,1,2010,666.09,2230.00,"**ES N HILTON ST 193-5 FT S OF VICKERS RD",0,0,,,666.09,,,City,,,,,,,,
0935A029A,28,,1,2010,330.23,500.00,"**ES PATAPSCO ST 83FT N-E CROSS ST",0,0,,,330.23,,,City,,,,,,,,
072610033,29,,1,2010,550.71,15146.00,"**ES PENNINGTON AV SEC POPLAND ST",0,1,"Removed from Sale","2011-03-30 16:26:47",,,,,,,,,,,,
