"Account Number","Adv Number","Certificate Number","Batch Number","Tax Year","Face Amount","Assessed Value","Property Address",Homestead,Removed,"Removed Because","Removed Time Stamp","Winning Bid","Winning Premium","Winning Amount Due","Winning Bidder","Winning Bidder Name","Winning Bidder Business Name","Winning Bidder Address","Winning Bidder City","Winning Bidder State","Winning Bidder Zip","Num Ties","Num Bids"
06332011E,1,,1,2015,274.87,242700.00,"**BIOSCIENCE DRIVE RIGHT-OF-WAY",0,1,"Removed from Sale","2016-05-09 21:31:01",,,,,,,,,,,,
042750026,2,,1,2015,3497.43,2700.00,"**ES ARMSTRONG AV 125 FT S OF RIDGE AV",0,0,,,3497.43,,,City,,,,,,,,
042750031,3,,1,2015,3396.81,2700.00,"**ES ARMSTRONG AV 250 FT S OF RIDGE AV",0,0,,,3396.81,,,City,,,,,,,,
042650015,4,,1,2015,1892.39,6100.00,"**ES ARMSTRONG AV 325 FT N OF RIDGE AV",0,0,,,1892.39,,,City,,,,,,,,
074750073,5,,1,2015,267.50,0.00,"**ES B & O R/W 1100 FT S OF ATLANTIC AVE",0,1,"Removed from Sale","2016-04-12 16:31:05",,,,,,,,,,,,
074750088,6,,1,2015,267.50,0.00,"**ES B & O R/W 300 FT. S OF SPONSON ST",0,1,"Removed from Sale","2016-04-12 16:31:05",,,,,,,,,,,,
074750071,7,,1,2015,267.50,0.00,"**ES B & O R/W 535 FT S OF ATLANTIC AV",0,1,"Removed from Sale","2016-04-12 16:31:05",,,,,,,,,,,,
074750072,8,,1,2015,267.50,0.00,"**ES B & O R/W 960 FT S OF ATLANTIC AV",0,1,"Removed from Sale","2016-04-12 16:31:05",,,,,,,,,,,,
041780006,9,,1,2015,538.66,67800.00,"**ES BELAIR ROAD SEC RAVENWOOD AVE",0,0,,,3928.66,0.00,538.66,200,"U S LIENS LLC",,"P O BOX 352",GAMBRILLS,MD,21054,,2
7868B0024,10,,1,2015,320.13,6000.00,"**ES BREITWERT AV 663-6FT S OF WASHINGTON BLVD",0,0,,,2451.00,10.00,330.13,123,"LYLE POE","TWIN MILLS INVESTMENTS, LLC.","5525 TWIN KNOLLS RD., SUITE 325",COLUMBA,MD,21045,,1
068130039,11,,1,2015,13156.03,23700.00,"**ES BROENING HWY NEC BESSEMER AV",0,0,,,13156.03,,,City,,,,,,,,
068120011,12,,1,2015,18675.48,35700.00,"**ES BROENING HWY SEC BESSEMER AV",0,0,,,18675.48,,,City,,,,,,,,
