"Account Number","Adv Number","Certificate Number","Batch Number","Tax Year","Face Amount","Assessed Value","Property Address",Homestead,Removed,"Removed Because","Removed Time Stamp","Winning Bid","Winning Premium","Winning Amount Due","Winning Bidder","Winning Bidder Name","Winning Bidder Business Name","Winning Bidder Address","Winning Bidder City","Winning Bidder State","Winning Bidder Zip","Num Ties","Num Bids"
5140E0050,1,,1,2014,6282.28,8200.00,"**ES ALHAMBRA AVE 69 FT N OF BEAVERBROOK RD",0,0,,,6282.28,,,City,,,,,,,,
05656010C,2,,1,2014,239337.24,13200.00,"**ES ASHLEY AV 233-8 FT S FLEETWOOD AV",0,0,,,239337.24,,,City,,,,,,,,
8139D0049,3,,1,2014,29555.95,13800.00,"**ES ATHOLWOOD LA 207-11 FT S OF FREDERICK AV",0,0,,,29555.95,,,City,,,,,,,,
081850013,6,,1,2014,3986.59,3000.00,"**ES CHAPELGATE LA 461'2 N OVERTON ST",0,0,,,3986.59,,,City,,,,,,,,
2880D0016,7,,1,2014,259016.83,19700.00,"**ES CHELSEA RD 243-11 FT S OF CLI0000 AVE",0,0,,,259016.83,,,City,,,,,,,,
02358048D,8,,1,2014,931.85,2100.00,"**ES CTR 20 FT PVT DR 158 FT W OF WHEELE0000E 125 FT",0,0,,,931.85,,,City,,,,,,,,
02483015O,9,,1,2014,723.77,1000.00,"**ES DENISON ST SEC HARLEM AV",0,0,,,723.77,,,City,,,,,,,,
0055D0090,10,,1,2014,1426.28,1000.00,"**ES DEWBERRY ALLEY 72-9 FT S OF WINCHESTER ST",0,0,,,1426.28,,,City,,,,,,,,
3100E0026,11,,1,2014,1320.67,600.00,"**ES ELLAMONT RD 95 FT NE OF SEQUOIA AV",0,0,,,1320.67,,,City,,,,,,,,
4536A135A,14,,1,2014,10702.59,2400.00,"**ES ETHELBERT AV 390 FT N OF HAYWARD AV",0,0,,,10702.59,,,City,,,,,,,,
05411006A,15,,1,2014,7453.17,2900.00,"**ES FAIR OAKS AV 100 FT S OF EVERGREEN AV 0000",0,0,,,7453.17,,,City,,,,,,,,
054320033,16,,1,2014,3263.83,1800.00,"**ES FAIR OAKS AV 810-6 FT S OF WESTFIELD AV",0,0,,,3263.83,,,City,,,,,,,,
5818A0111,17,,1,2014,364985.15,12700.00,"**ES FRANKFORD AV 210-9 FT S OF BELLE VISTA AV",0,0,,,364985.15,,,City,,,,,,,,
075670029,18,,1,2014,2844.14,5000.00,"**ES GERANIUM AV 139 FT S OF MAGNOLIA AV",0,0,,,2844.14,,,City,,,,,,,,
075670028,19,,1,2014,41638.54,5000.00,"**ES GERANIUM AV 164 FT S OF MAGNOLIA AV",0,0,,,41638.54,,,City,,,,,,,,
