"Account Number","Adv Number","Certificate Number","Batch Number","Tax Year","Face Amount","Assessed Value","Property Address",Homestead,Removed,"Removed Because","Removed Time Stamp","Winning Bid","Winning Premium","Winning Amount Due","Winning Bidder","Winning Bidder Name","Winning Bidder Business Name","Winning Bidder Address","Winning Bidder City","Winning Bidder State","Winning Bidder Zip","Num Ties","Num Bids"
5140E0050,1,,1,2009,501.56,8280.00,"**ES ALHAMBRA AVE 69 FT N OF BEAVERBROOK RD",0,0,,,501.56,,,City,,,,,,,,
042650015,2,,1,2009,395.58,12500.00,"**ES ARMSTRONG AV 325 FT N OF RIDGE AV",0,0,,,2000.00,0.00,395.58,78,"Patricia Burgess","AMJM Limited Partnership","2011 Highland Ridge Drive",Phoenix,MD,21131,,1
05656010C,3,,1,2009,155760.18,13200.00,"**ES ASHLEY AV 233-8 FT S FLEETWOOD AV",0,0,,,155760.18,,,City,,,,,,,,
8139D0049,4,,1,2009,10423.42,13850.00,"**ES ATHOLWOOD LA 207-11 FT S OF FREDERICK AV",0,0,,,10423.42,,,City,,,,,,,,
068130039,5,,1,2009,463.69,16710.00,"**ES BROENING HWY NEC BESSEMER AV",0,1,"Removed from Sale","2010-05-05 10:16:51",,,,,,,,,,,,
068120011,6,,1,2009,684.02,24856.00,"**ES BROENING HWY SEC BESSEMER AV",0,1,"Removed from Sale","2010-05-05 10:16:51",,,,,,,,,,,,
035670037,7,,1,2009,613.38,21870.00,"**ES BUENA VISTA AV 100 FT S OF COX ST",0,1,"Removed from Sale","2010-05-13 15:19:14",,,,,,,,,,,,
081850013,8,,1,2009,341.06,3090.00,"**ES CHAPELGATE LA 461'2 N OVERTON ST",0,0,,,341.06,,,City,,,,,,,,
2880D0016,9,,1,2009,114310.86,19750.00,"**ES CHELSEA RD 243-11 FT S OF CLI0000 AVE",0,0,,,114310.86,,,City,,,,,,,,
7567A0012,10,,1,2009,2519.54,25800.00,"**ES ENGLISH CONSUL AVE 524 FT N OF CHAHULL AVE",0,1,"Removed from Sale","2010-05-05 10:16:51",,,,,,,,,,,,
4536A135A,11,,1,2009,2437.70,2490.00,"**ES ETHELBERT AV 390 FT N OF HAYWARD AV",0,0,,,2437.70,,,City,,,,,,,,
05411006A,12,,1,2009,2242.75,2990.00,"**ES FAIR OAKS AV 100 FT S OF EVERGREEN AV 0000",0,0,,,2242.75,,,City,,,,,,,,
054320033,13,,1,2009,324.41,1810.00,"**ES FAIR OAKS AV 810-6 FT S OF WESTFIELD AV",0,0,,,324.41,,,City,,,,,,,,
5818A0111,14,,1,2009,211961.41,14410.00,"**ES FRANKFORD AV 210-9 FT S OF BELLE VISTA AV",0,0,,,211961.41,,,City,,,,,,,,
075670029,15,,1,2009,17136.21,4133.00,"**ES GERANIUM AV 139 FT S OF MAGNOLIA AV",0,0,,,17136.21,,,City,,,,,,,,
075670028,16,,1,2009,17136.21,4133.00,"**ES GERANIUM AV 164 FT S OF MAGNOLIA AV",0,0,,,17136.21,,,City,,,,,,,,
4048A016A,17,,1,2009,6347.89,1000.00,"**ES GREENMOUNT AV 261 FT S OF CHESTNUT HILL AV",0,0,,,6347.89,,,City,,,,,,,,
3357H0019,18,,1,2009,109063.51,12360.00,"**ES GREENSPRING AV 123-5 FT S OF PARK HILL AV",0,0,,,109063.51,,,City,,,,,,,,
08186002A,19,,1,2009,370.68,1990.00,"**ES HAZLETT AV 80 FT N OF N OVERTON ST",0,0,,,370.68,,,City,,,,,,,,
078970013,20,,1,2009,785.75,6900.00,"**ES HOLLINS FERRY RD 110 FT S OF WICOMICO ST",0,0,,,800.00,0.00,785.75,78,"Patricia Burgess","AMJM Limited Partnership","2011 Highland Ridge Drive",Phoenix,MD,21131,,1
6345A020A,21,,1,2009,332.47,1532.00,"**ES HORNEL ST 120 FT N OF EASTER0000",0,0,,,332.47,,,City,,,,,,,,
4652D0063,22,,1,2009,1066.45,39690.00,"**ES IVYDENE TER 101-6 FT N OF NORTHCLIFF DR",0,1,"Removed from Sale","2010-04-07 11:39:30",,,,,,,,,,,,
019470001,23,,1,2009,122001.13,49700.00,"**ES JOHNSON ST 98-8 S WELLS ST",0,0,,,122001.13,,,City,,,,,,,,
3575C0198,24,,1,2009,4042.91,151632.00,"**ES JONES FALLS EXPWY KNOWN AS 1620 W 41ST ST",0,1,"Removed from Sale","2010-04-01 15:27:16",,,,,,,,,,,,
051920003,25,,1,2009,476.14,6030.00,"**ES KENILWORTH AV 242-5 FT N OF E 43RD ST",0,0,,,476.14,,,City,,,,,,,,
051920011,26,,1,2009,5350.46,5590.00,"**ES KENILWORTH AV 432-2 FT N OF E 43RD ST",0,1,"Removed from Sale","2010-04-14 13:43:14",,,,,,,,,,,,
