"Account Number","Adv Number","Certificate Number","Batch Number","Tax Year","Face Amount","Assessed Value","Property Address",Homestead,Removed,"Removed Because","Removed Time Stamp","Winning Bid","Winning Premium","Winning Amount Due","Winning Bidder","Winning Bidder Name","Winning Bidder Business Name","Winning Bidder Address","Winning Bidder City","Winning Bidder State","Winning Bidder Zip","Num Ties","Num Bids"
042650014,1,,1,2016,287.01,2800.00,"**ES ARMSTRONG AV 300 FT N OF RIDGE AV",0,1,"Removed from Sale","2017-05-11 15:39:09",,,,,,,,,,,,
000320060,2,,1,2016,442.64,1000.00,"**ES BRUCE ST 110 FT N OF LAURENS ST",0,0,,,442.64,,,City,,,,,,,,
031220002,3,,1,2016,272.37,3000.00,"**ES CALLAWAY AV 25 FT N OF BELLE AV 0000",0,1,"Removed from Sale","2017-04-26 16:53:46",,,,,,,,,,,,
051910009,4,,1,2016,387.01,12300.00,"**ES CRADDOCK AVENUE 428-4 FT NE OF E 43RD ST",0,0,,,1000.00,0.00,387.01,248,"JASON DAVIS",,"1122 DECATUR",BROOKLYN,NY,11207,,2
02358054A,5,,1,2016,479.21,2800.00,"**ES CTR 20 FT PVT DR 158 FT W OF WHEELER AV 165 FT",0,1,"Removed from Sale","2017-05-02 17:00:18",,,,,,,,,,,,
7567A0007,6,,1,2016,625.19,21567.00,"**ES ENGLISH CONSUL AV 649 FT N OF CHAHULL AV",0,0,,,1000.00,0.00,625.19,248,"JASON DAVIS",,"1122 DECATUR",BROOKLYN,NY,11207,,2
7567A0006,7,,1,2016,803.69,26967.00,"**ES ENGLISH CONSUL AV 674 FT N OF CHAHULL AV",0,0,,,1000.00,0.00,803.69,248,"JASON DAVIS",,"1122 DECATUR",BROOKLYN,NY,11207,,2
7567A0013,8,,1,2016,569.35,19467.00,"**ES ENGLISH CONSUL AVE 499 FT N OF CHAHULL AVE",0,0,,,1000.00,0.00,569.35,248,"JASON DAVIS",,"1122 DECATUR",BROOKLYN,NY,11207,,2
7567A0012,9,,1,2016,590.58,20267.00,"**ES ENGLISH CONSUL AVE 524 FT N OF CHAHULL AVE",0,0,,,1000.00,0.00,590.58,248,"JASON DAVIS",,"1122 DECATUR",BROOKLYN,NY,11207,,2
7567A0011,10,,1,2016,533.85,18133.00,"**ES ENGLISH CONSUL AVE 549 FT N OF CHAHULL AVE",0,0,,,581.00,0.00,533.85,67,"TAX PROPERTIES ONE, LLC",,"6314 IVYMOUNT ROAD",BALTIMORE,MD,21209,,2
053420010,11,,1,2016,277.13,8100.00,"**ES HAMPNETT AV 128-3 FT W OF MARKLEY AV",0,1,"Removed from Sale","2017-04-26 16:53:46",,,,,,,,,,,,
051920014,12,,1,2016,18052.55,5500.00,"**ES KENILWORTH AV 507-2 FT N OF E 43RD ST",0,0,,,18052.55,,,City,,,,,,,,
041060009,13,,1,2016,442.06,0.00,"**ES LOCH RAVEN RD 210 FT N WALPERT ST",0,1,"Removed from Sale","2017-04-12 14:39:46",,,,,,,,,,,,
075190007,14,,1,2016,390.15,6400.00,"**ES LORENA AV SEC W PATAPSCO AV",0,1,"Removed from Sale","2017-05-02 17:00:18",,,,,,,,,,,,
067500076,15,,1,2016,943.65,32700.00,"**ES MALVERN ST SEC HARTWAIT ST",0,0,,,1023.00,0.00,943.65,67,"TAX PROPERTIES ONE, LLC",,"6314 IVYMOUNT ROAD",BALTIMORE,MD,21209,,2
077630016,17,,1,2016,269.04,3000.00,"**ES MORRELL PARK AV 125 FT N OF JAMES ST",0,1,"Removed from Sale","2017-04-12 14:39:46",,,,,,,,,,,,
011510034,18,,1,2016,5677.17,1000.00,"**ES N BOND ST SEC E HOFFMAN ST",0,0,,,5677.17,,,City,,,,,,,,
014690076,19,,1,2016,626.61,9800.00,"**ES N CASTLE ST 68 FT S OF LANVALE ST",0,0,,,786.00,0.00,626.61,67,"TAX PROPERTIES ONE, LLC",,"6314 IVYMOUNT ROAD",BALTIMORE,MD,21209,,1
013430051,20,,1,2016,1202.53,0.00,"**ES N EDEN ST NEC TENPIN ALLEY",0,0,,,1202.53,,,City,,,,,,,,
000410034,21,,1,2016,737.68,27300.00,"**ES N FULTON AV 110 FT S OF LAURENS ST",0,1,"Removed from Sale","2017-05-08 16:22:16",,,,,,,,,,,,
03572001A,22,,1,2016,318.00,2500.00,"**ES NORTHERN CENTRAL RR R/W 672-9 FT N OF UNION AV",0,1,"Removed from Sale","2017-03-29 16:27:15",,,,,,,,,,,,
040530095,23,,1,2016,291.47,5100.00,"**ES OLD YORK RD SEC VENABLE AVE",0,1,"Removed from Sale","2017-03-29 16:27:15",,,,,,,,,,,,
072000051,24,,1,2016,283.98,8000.00,"**ES PARCEL ST NEC FILBERT ST",0,1,"Removed from Sale","2017-04-12 14:39:46",,,,,,,,,,,,
04804016B,25,,1,2016,3414.18,1900.00,"**ES PIMLICO RD 99-3 N-ROSALIND AVE",0,0,,,3414.18,,,City,,,,,,,,
074790021,26,,1,2016,2244.87,9600.00,"**ES PUGET ST SEC HARMAN AV",0,0,,,2244.87,,,City,,,,,,,,
074770039,27,,1,2016,272.86,1500.00,"**ES RIDGELY ST 176 FT S OF HARMAN AV",0,1,"Removed from Sale","2017-04-12 14:39:46",,,,,,,,,,,,
074770040,28,,1,2016,1783.80,3100.00,"**ES RIDGELY ST 192 FT S OF HARMAN AV",0,0,,,1783.80,,,City,,,,,,,,
00876001A,29,,1,2016,272.37,28900.00,"**ES S CHARLES ST 284-5 FT N LEE ST",0,1,"Removed from Sale","2017-05-02 17:00:18",,,,,,,,,,,,
022530041,30,,1,2016,484.77,5000.00,"**ES S CULVER ST 360 FT S OF ST. JOSEPH ST",0,0,,,484.77,,,City,,,,,,,,
6315A0037,31,,1,2016,2259.72,86000.00,"**ES S DEAN ST 80'8 S BANK ST",0,1,"Removed from Sale","2017-04-26 16:53:46",,,,,,,,,,,,
6750D0017,32,,1,2016,269.04,8800.00,"**ES S KANE ST 100 FT N OF EASTBOURNE AV",0,1,"Removed from Sale","2017-04-12 14:39:46",,,,,,,,,,,,
018320001,33,,1,2016,1459.98,0.00,"**ES S WASHINGTON ST 44'8 N ALICEANNA S0000",0,0,,,1459.98,,,City,,,,,,,,
3261A0038,34,,1,2016,323.07,1000.00,"**ES 10 FT ALLEY 1ST E OF BENTALOU ST 110 FT N OF CL",0,1,"Removed from Sale","2017-05-02 17:00:18",,,,,,,,,,,,
2199C0042,35,,1,2016,4700.83,47800.00,"**ES 10 FT ALLEY 1ST E OF HILTON ST REAR 219-59 S HI",0,0,,,4700.83,,,City,,,,,,,,
051500026,36,,1,2016,7827.90,800.00,"**ES 12 FT ALLEY 1ST E OF READY AVE 142-1 FT S OF HA",0,0,,,7827.90,,,City,,,,,,,,
051500022,37,,1,2016,5500.84,800.00,"**ES 12 FT ALLEY 1ST E OF READY AVE 97-5 FT S OF HAR",0,0,,,5500.84,,,City,,,,,,,,
4179E0135,38,,1,2016,2804.44,6200.00,"**ES 15 FT ALLEY 1ST E OF KENTUCKY AV REAR 30000KENT",0,0,,,2804.44,,,City,,,,,,,,
6629C039B,39,,1,2016,2151.37,4500.00,"**ES 15 FT ALLEY 1ST E OF TOLNA ST REAR 505 TOLNA ST",0,0,,,2151.37,,,City,,,,,,,,
6629C044A,40,,1,2016,271.00,9900.00,"**ES 15 FT ALLEY 1ST E OF TOLNA ST REAR 619 TOLNA ST",0,1,"Removed from Sale","2017-03-29 16:27:15",,,,,,,,,,,,
02301046F,41,,1,2016,3685.84,3000.00,"**ES 20 FT ALLEY 1ST E OF N SMALLWOOD ST REAR 1715 N",0,0,,,3685.84,,,City,,,,,,,,
02301046G,42,,1,2016,334.15,900.00,"**ES 20 FT ALLEY 1ST E OF N SMALLWOOD ST REAR 1721 N",0,0,,,334.15,,,City,,,,,,,,
035340136,43,,1,2016,380.41,5800.00,"**ES 20 FT ALLEY 1ST W OF KESWICK RD 76-2 FT S OF CR",0,0,,,451.00,0.00,380.41,67,"TAX PROPERTIES ONE, LLC",,"6314 IVYMOUNT ROAD",BALTIMORE,MD,21209,,2
3969M0060,44,,1,2016,383.63,2000.00,"**ES 22 FT ALLEY 1ST E OF WELBOURNE RD 41-8 FT N OF",0,0,,,383.63,,,City,,,,,,,,
3969M0065,45,,1,2016,388.85,300.00,"**ES 22 FT ALLEY 1ST E OF WELBOURNE RD 91-7 FT N OF",0,0,,,388.85,,,City,,,,,,,,
5090A031B,46,,1,2016,373.21,2400.00,"**N.S. 15 FT ALLEY-1ST S.OF E.LAKE AVE-165'10 E. HEN",0,0,,,373.21,,,City,,,,,,,,
03834049A,47,,1,2016,806.35,25900.00,"**NE E 25< ST 231 FT W OF BARCLAY ST",0,1,"Removed from Sale","2017-04-12 14:39:46",,,,,,,,,,,,
015880004,48,,1,2016,661.45,3902200.00,"**NEC N. CHESTER ST & ASHLAND AVE 335 E THEN 89FT N",0,0,,,5689.25,0.00,661.45,67,"TAX PROPERTIES ONE, LLC",,"6314 IVYMOUNT ROAD",BALTIMORE,MD,21209,,2
042650002,49,,1,2016,3627.43,2700.00,"**NES ARMSTRONG AV NEC RIDGE AV",0,0,,,3627.43,,,City,,,,,,,,
042650007,50,,1,2016,503.97,5000.00,"**NES ARMSTRONG AV 125 FT N OF RIDGE AV",0,1,"Removed from Sale","2017-05-11 15:39:09",,,,,,,,,,,,
042650008,51,,1,2016,464.25,4600.00,"**NES ARMSTRONG AV 150 FT N OF RIDGE AV",0,1,"Removed from Sale","2017-05-11 15:39:09",,,,,,,,,,,,
042650009,52,,1,2016,5190.66,4300.00,"**NES ARMSTRONG AV 175 FT N OF RIDGE AV",0,0,,,5190.66,,,City,,,,,,,,
042650010,53,,1,2016,4851.50,4000.00,"**NES ARMSTRONG AV 200 FT N OF RIDGE AV",0,0,,,4851.50,,,City,,,,,,,,
042650011,54,,1,2016,375.33,3700.00,"**NES ARMSTRONG AV 225 FT N OF RIDGE AV",0,1,"Removed from Sale","2017-05-11 15:39:09",,,,,,,,,,,,
042750022,55,,1,2016,316.93,2700.00,"**NES ARMSTRONG AV 25 FT S OF RIDGE AV",0,0,,,316.93,,,City,,,,,,,,
042650012,56,,1,2016,4752.80,3400.00,"**NES ARMSTRONG AV 250 FT N OF RIDGE AV",0,0,,,4752.80,,,City,,,,,,,,
042650013,57,,1,2016,316.05,3100.00,"**NES ARMSTRONG AV 275 FT N OF RIDGE AV",0,1,"Removed from Sale","2017-05-11 15:39:09",,,,,,,,,,,,
042750023,58,,1,2016,316.93,2700.00,"**NES ARMSTRONG AV 50 FT S OF RIDGE AV",0,0,,,316.93,,,City,,,,,,,,
042750021,59,,1,2016,316.93,2700.00,"**NES ARMSTRONG AVE SEC RIDGE AVE",0,0,,,316.93,,,City,,,,,,,,
04348035A,60,,1,2016,633.52,0.00,"**NES BENHURST RD 110-1 SE TEMPLE GATE",0,0,,,633.52,,,City,,,,,,,,
041300015,61,,1,2016,94951.42,1000.00,"**NES CARSWELL ST 16 FT NW OF POLK ST",0,0,,,94951.42,,,City,,,,,,,,
041300013,62,,1,2016,36545.01,1000.00,"**NES CARSWELL ST 48 FT NW OF POLK ST",0,0,,,36545.01,,,City,,,,,,,,
04527023A,63,,1,2016,586.61,1000.00,"**NES DENMORE AV REAR 5412 PARK HEIGHTS AVE",0,0,,,586.61,,,City,,,,,,,,
043170009,64,,1,2016,289.31,9300.00,"**NES GIST AV 168-4 FT NW OF PINKNEY RD",0,1,"Removed from Sale","2017-05-02 17:00:18",,,,,,,,,,,,
05341036A,65,,1,2016,418.02,11300.00,"**NES OVERLAND AV 445 FT NW OF ELSRODE AV",0,1,"Removed from Sale","2017-05-02 17:00:18",,,,,,,,,,,,
5570G0001,66,,1,2016,645.74,9700.00,"**NES WALNUT AV 100 FT SE OF BROOK AV",0,0,,,645.74,,,City,,,,,,,,
4190A0061,67,,1,2016,3142.62,1000.00,"**NES 10 FT ALLEY 1ST NE OF CLIFTON PK. TER 139-9 FT",0,0,,,3142.62,,,City,,,,,,,,
056220024,68,,1,2016,1247.49,45300.00,"**NES 10 FT ALLEY 1ST NE OF ROSELAWN AV REAR 3008-18",0,1,"Removed from Sale","2017-05-08 16:22:16",,,,,,,,,,,,
3100D0035,69,,1,2016,426.25,1600.00,"**NES 15 FT ALLEY 1ST NE OF SEQUOIA AV REAR 3216 SEQ",0,1,"Removed from Sale","2017-05-08 16:22:16",,,,,,,,,,,,
3100D0050,70,,1,2016,878.61,1600.00,"**NES 15 FT ALLEY 1ST NE SEQUOIA AV REAR 3246 SEQUOI",0,0,,,878.61,,,City,,,,,,,,
051720017,71,,1,2016,358.32,4900.00,"**NS BEAUMONT AVE 100 FT E OF KENILWORTH AVE",0,1,"Removed from Sale","2017-04-12 14:39:46",,,,,,,,,,,,
068110001,72,,1,2016,596.13,21800.00,"**NS BROWN AV 135 FT W OF ELRINO ST",0,1,"Removed from Sale","2017-04-26 16:53:46",,,,,,,,,,,,
068110002,73,,1,2016,596.13,21800.00,"**NS BROWN AV 160 FT W OF ELRINO ST",0,1,"Removed from Sale","2017-04-26 16:53:46",,,,,,,,,,,,
068110003,74,,1,2016,596.13,21800.00,"**NS BROWN AV 185 FT W OF ELRINO ST",0,1,"Removed from Sale","2017-04-26 16:53:46",,,,,,,,,,,,
7184A0011,75,,1,2016,370.12,2700.00,"**NS CEDDOX ST 270 FT W OF CURTIS AV",0,1,"Removed from Sale","2017-03-29 16:27:15",,,,,,,,,,,,
7335A0001,76,,1,2016,1914.29,19500.00,"**NS CHESAPEAKE AVE 105 FT W CHILDS ST",0,1,"Removed from Sale","2017-04-26 16:53:46",,,,,,,,,,,,
071960021,77,,1,2016,280.90,1500.00,"**NS CHURCH ST 25 FT E OF VIRGINIA AV",0,1,"Removed from Sale","2017-04-12 14:39:46",,,,,,,,,,,,
03800002B,78,,1,2016,1357.79,49100.00,"**NS E NORTH AVE 194-3 FT W OF ST. PAUL ST",0,0,,,1357.79,,,City,,,,,,,,
038340050,79,,1,2016,797.00,25600.00,"**NS E 25< ST 114-10 FT W OF BARCLAY ST",0,1,"Removed from Sale","2017-04-12 14:39:46",,,,,,,,,,,,
4048A0001,80,,1,2016,315.37,100.00,"**NS E 36TH ST 114 FT W OF OLD YORK RD",0,0,,,315.37,,,City,,,,,,,,
072000083,81,,1,2016,281.84,2900.00,"**NS ELMTREE ST NWC FAIRHAVEN AV",0,1,"Removed from Sale","2017-04-12 14:39:46",,,,,,,,,,,,
067030010,82,,1,2016,296.38,7000.00,"**NS FAIT AV 359-5 FT E OF MALVERN ST",0,1,"Removed from Sale","2017-04-12 14:39:46",,,,,,,,,,,,
8127A002A,83,,1,2016,560.15,346600.00,"**NS FREDERICK AVE NEC S ATHOL AVE",0,0,,,11001.11,0.00,560.15,67,"TAX PROPERTIES ONE, LLC",,"6314 IVYMOUNT ROAD",BALTIMORE,MD,21209,,1
071290013,85,,1,2016,577.44,21100.00,"**NS HILLCREST AV 183 FT E FIFTH ST",0,1,"Removed from Sale","2017-05-02 17:00:18",,,,,,,,,,,,
065260006,86,,1,2016,10558.27,0.00,"**NS HOLABVIRD AVE NWC IRIS AVE",0,0,,,10558.27,,,City,,,,,,,,
02152004B,87,,1,2016,1323.47,1800.00,"**NS HOLLINS ST NEC WARWICK AV",0,0,,,1323.47,,,City,,,,,,,,
067190029,88,,1,2016,537.14,19600.00,"**NS HUDSON ST 707-8 FT W OF OGDEN ST",0,1,"Removed from Sale","2017-04-26 16:53:46",,,,,,,,,,,,
067190030,89,,1,2016,311.88,11200.00,"**NS HUDSON ST 732-8 FT W OF OGDEN ST",0,1,"Removed from Sale","2017-04-26 16:53:46",,,,,,,,,,,,
050930049,90,,1,2016,868.06,32200.00,"**NS HUTCHINS AV 150-8 FT E OF YORK RD",0,1,"Removed from Sale","2017-05-08 16:22:16",,,,,,,,,,,,
057080009,91,,1,2016,290.41,10400.00,"**NS KENWOOD AV 347 FT E OF BELAIR RD",0,1,"Removed from Sale","2017-05-02 17:00:18",,,,,,,,,,,,
035750087,92,,1,2016,330.49,7800.00,"**NS MORLING AVE SWC COX ST",0,0,,,330.49,,,City,,,,,,,,
023660029,93,,1,2016,5753.16,5300.00,"**NS MOSHER ST NEC WHITEMORE AV",0,0,,,5753.16,,,City,,,,,,,,
000310073,94,,1,2016,7716.05,1000.00,"**NS MULLINS ST REAR 1322-30 N FULTON AV",0,0,,,7716.05,,,City,,,,,,,,
042320006,95,,1,2016,345.08,8800.00,"**NS OLYMPIA AV 175 FT W OF WALLIS AV",0,1,"Removed from Sale","2017-04-12 14:39:46",,,,,,,,,,,,
059740021,96,,1,2016,1528.62,56500.00,"**NS PHILIPPI AV 260-10FT W OF FRANKFORD AV",0,1,"Removed from Sale","2017-04-12 14:39:46",,,,,,,,,,,,
