"Account Number","Adv Number","Certificate Number","Batch Number","Tax Year","Face Amount","Assessed Value","Property Address",Homestead,Removed,"Removed Because","Removed Time Stamp","Winning Bid","Winning Premium","Winning Amount Due","Winning Bidder","Winning Bidder Name","Winning Bidder Business Name","Winning Bidder Address","Winning Bidder City","Winning Bidder State","Winning Bidder Zip","Num Ties","Num Bids"
5140E0050,1,,1,2007,1849.23,5140.00,"**ES ALHAMBRA AVE 69 FT N OF BEAVERBROOK RD",0,0,,,2800.00,148.00,1997.23,249,"Craig R Williams",,"6604 24th ave",hyattsville,MD,20782,,1
068130039,2,,1,2007,167.71,2590.00,"**ES BROENING HWY NEC BESSEMER AV",0,1,"Removed from Sale","2008-05-01 14:25:04",,,,,,,,,,,,
068120011,3,,1,2007,202.53,3170.00,"**ES BROENING HWY SEC BESSEMER AV",0,1,"Removed from Sale","2008-05-01 14:25:04",,,,,,,,,,,,
081850013,4,,1,2007,9879.99,4652.00,"**ES CHAPELGATE LA 461'2 N OVERTON ST",0,0,,,10000.00,24.00,9903.99,249,"Craig R Williams",,"6604 24th ave",hyattsville,MD,20782,,1
02358048D,5,,1,2007,501.08,1900.00,"**ES CTR 20 FT PVT DR 158 FT W OF WHEELE0000E 125 FT",0,0,,,1000.00,48.00,549.08,249,"Craig R Williams",,"6604 24th ave",hyattsville,MD,20782,,1
0055D0090,6,,1,2007,123.36,1000.00,"**ES DEWBERRY ALLEY 72-9 FT S OF WINCHESTER ST",0,1,"Removed from Sale","2008-05-05 10:53:51",,,,,,,,,,,,
021410024,7,,1,2007,424.60,1000.00,"**ES EAST LYNNE AV ADJ 2663 LEHMAN ST",0,0,,,500.00,15.00,439.60,249,"Craig R Williams",,"6604 24th ave",hyattsville,MD,20782,,1
054320033,8,,1,2007,122.57,1810.00,"**ES FAIR OAKS AV 810-6 FT S OF WESTFIELD AV",0,1,"Removed from Sale","2008-05-05 10:53:51",,,,,,,,,,,,
057040015,9,,1,2007,578.41,20926.00,"**ES FAIRDEL AV 240 FT S OF RASPE AV",0,1,"Removed from Sale","2008-04-23 10:04:07",,,,,,,,,,,,
5695A0017,10,,1,2007,465.89,11690.00,"**ES FAIRWOOD AV 701-3 FT N OF WHITE AV",0,0,,,2000.00,0.00,465.89,44,"AMJM Limited Partnership",,"2011 Highland Ridge Drive",Phoenix,MD,21131,,2
